Heart Rate (BPM),Blood Oxygen Level (%),Step Count,Sleep Duration (hours),Activity Level,Stress Level
58.939777,98.80965,5450.3906,7.167236,Highly Active,1.0
75.220604,98.532196,727.6016,6.5382395,Highly_Active,5.0
247.80305,97.052956,2826.522,6.505463,Highly Active,5.0
40.0,96.89421,13797.338,7.3677897,Actve,3.0
61.950165,98.58379,15679.067,6.505463,Highly_Active,6.0
96.285934,94.20291,10205.992,8.378343,Highly_Active,10.0
47.272255,95.38976,3208.7812,7.871146,Seddentary,2.0
81.7335,95.981346,6051.25,5.224139,Sedentary,1.0
93.34034,97.21895,1775.0295,5.468414,Seddentary,1.0
51.409966,97.27279,7940.0215,7.954499,Seddentary,8.0
101.91494,97.84158,2987.5686,7.5419564,Sedentary,9.0
73.85294,95.39944,1748.197,4.8301616,Actve,1.0
95.37229,99.15265,6155.8374,5.8143487,Highly_Active,10.0
79.06263,99.014915,829.9256,6.26906,Sedentary,5.0
68.0902,99.72974,8124.1357,6.4448695,Highly_Active,5.0
40.0,99.04772,1449.216,6.392174,Active,2.0
58.27796,97.78973,5643.511,7.848859,Seddentary,10.0
75.220604,96.05286,3488.9194,6.7186613,Seddentary,4.0
98.05925,96.0271,5846.9233,6.621127,Seddentary,9.0
53.930206,96.30257,1976.1864,5.364849,Highly_Active,5.0
74.105,99.646065,2601.3965,6.751333,Highly Active,9.0
68.310104,97.84158,1058.3743,6.4569182,Actve,3.0
81.267235,96.06816,10503.006,5.7802124,Actve,5.0
76.32552,98.75711,508.8381,4.7739997,Seddentary,8.0
69.4248,99.25495,3306.1104,8.4154215,Highly Active,1.0
84.586624,99.02469,4173.373,9.169583,Seddentary,9.0
64.627045,99.7896,1520.1843,6.866753,Seddentary,2.0
75.1686,98.1001,3400.901,8.6519,Sedentary,10.0
86.5516,97.47263,3790.055,6.844302,Seddentary,1.0
64.10447,98.147125,1778.2003,4.4197083,Sedentary,7.0
69.61568,100.0,7137.102,6.950441,Seddentary,2.0
66.629715,99.51747,219.3801,5.9907427,Sedentary,6.0
81.78254,98.18899,1540.728,7.213771,Highly Active,10.0
80.24336,100.0,6848.5586,6.505463,Sedentary,6.0
67.22783,100.0,6913.1436,5.7399473,Active,10.0
80.11309,100.0,2157.6948,7.081259,Highly Active,4.0
40.0,100.0,8043.062,7.7916856,Actve,5.0
87.52908,100.0,4441.3594,8.531279,Sedentary,5.0
88.43552,100.0,5244.2705,7.978656,Sedentary,6.0
67.40428,92.65567,2830.6687,4.8275924,Sedentary,7.0
64.42025,98.42435,29066.332,4.82584,Highly_Active,3.0
74.137146,95.06438,9359.522,7.6473904,Actve,4.0
61.348923,100.0,1999.1355,5.923068,Highly_Active,2.0
63.680176,97.3743,1889.4752,5.0242147,Actve,2.0
79.61779,98.89437,10415.918,8.282514,Seddentary,8.0
87.13592,97.708275,3437.286,5.9454927,Highly_Active,5.0
79.768074,100.0,671.8149,8.945555,Highly Active,2.0
118.29493,95.629326,253.7433,5.8392863,Active,8.0
93.72881,99.41376,3740.523,5.379781,Seddentary,3.0
86.03063,95.91432,3749.5115,6.4034696,Seddentary,3.0
85.48782,93.72753,8589.656,7.6374035,Highly Active,7.0
76.301384,98.37516,5985.903,6.939396,Sedentary,8.0
